,e1,px1,py1,pz1,e2,px2,py2,pz2
61,67.977565585,-2.563020504,23.780994549,63.456714751,27.170705104,2.563020504,-23.780994549,-12.002184802
62,41.747083881,3.0103565485,19.645422713,36.410494812,50.568736309,-3.0103565485,-19.645422713,-46.261238762
63,678.34281467,-8.22415227,3.8823667807,678.2655636,11.495503027,8.22415227,-3.8823667807,5.2294490602
64,956.86620378,6.180471862,42.625138828,955.88479496,359.37943285,-6.180471862,-42.625138828,356.75816187
65,494.73666083,-13.100295913,36.148331063,493.21795788,153.10463776,13.100295913,-36.148331063,148.12366628
66,3198.7088619,-0.45771449542,3.7552195059,3198.703172,14.959545717,0.45771449542,-3.7552195059,13.688931002
67,31.797497489,-25.596085529,-17.64442673,4.7439917276,81.829306971,25.596085529,17.64442673,-75.547733852
68,51.370632994,-17.362153638,-43.495810073,20.579651633,57.635792039,17.362153638,43.495810073,33.263563416
69,552.88884238,-28.362777142,6.3624660227,552.10420568,79.23220422,28.362777142,-6.3624660227,73.557624244
70,4016.6017746,-0.28677974262,-23.480213626,-4016.5303837,274.87962477,0.28677974262,23.480213626,-273.83446723
71,73.048920326,-36.691295394,7.5587094091,62.535346127,37.757772453,36.691295394,-7.5587094091,0.41729484309
72,434.27921132,-7.7575460949,-19.983016674,433.72438588,32.660496562,7.7575460949,19.983016674,24.189203353
73,168.60200667,39.116305424,19.069135175,162.82146476,70.165803575,-39.116305424,-19.069135175,54.840064962
74,41.619112122,-35.246463829,17.892112762,12.14987993,74.09107614,35.246463829,-17.892112762,62.48965236
75,66.156829118,24.58131331,-37.658834218,-48.292931991,56.201028214,-24.58131331,37.658834218,-33.37719002
76,51.391667425,43.396655764,-12.397311592,-24.125721017,47.257409941,-43.396655764,12.397311592,13.19885329
77,133.17191472,-29.412090938,23.094810713,127.72716036,598.81244277,29.412090938,-23.094810713,597.62514191
78,37.214146557,22.986537509,-26.581088267,11.307853194,105.53704876,-22.986537509,26.581088267,99.40343807
79,537.69974459,-3.597977298,-14.725858029,537.46546772,21.269444811,3.597977298,14.725858029,14.15990633
80,831.55739317,-0.74694200912,38.060227795,-830.67229957,231.57025603,0.74694200912,-38.060227795,-228.3715276
81,212.60057396,32.141986857,-27.782529218,208.25930423,98.126359689,-32.141986857,27.782529218,88.327324295
82,425.55983311,-41.292114668,-18.777406597,-423.10926701,198.54929613,41.292114668,18.777406597,-193.24104963
83,63.856983139,-30.071980312,33.80423164,-44.817119709,48.821177961,30.071980312,-33.80423164,-17.730407239
84,124.24605371,-44.928752455,8.3887224892,-115.43841821,75.92330231,44.928752455,-8.3887224892,-60.442488131
85,30.635112915,19.051853219,-0.53285974079,-23.519419482,82.989646824,-19.051853219,0.53285974079,80.634573412
