,e1,px1,py1,pz1,e2,px2,py2,pz2
140,34.235715282,2.1284768128,33.557628293,4.3987919511,131.21950819,-2.1284768128,-33.557628293,-126.75103353
141,71.782395543,-5.1124344183,-10.856709296,70.615983938,16.848330801,5.1124344183,10.856709296,-10.852240708
142,231.26985213,-22.510766435,21.529863328,229.11434892,179.21177407,22.510766435,-21.529863328,176.42137156
143,103.34365616,-22.933713125,27.497241146,-96.828548479,241.26910139,22.933713125,-27.497241146,-238.55111782
144,79.795010661,-36.070584811,-2.4551555248,-70.979143761,137.7459555,36.070584811,2.4551555248,-132.83351753
145,122.32739787,-22.463976036,-13.689696759,119.37279528,47.06350964,22.463976036,13.689696759,38.740752741
146,171.49480209,12.959180593,8.5320761598,170.72680064,16.546992657,-12.959180593,-8.5320761598,-3.3130470462
147,34.973777586,-25.212231111,-15.802286367,17.768125017,30.766163088,25.212231111,15.802286367,6.2528344857
148,41.260026314,4.119020408,30.182079697,27.429464221,142.49068827,-4.119020408,-30.182079697,139.117152
149,227.69218426,-16.137203185,-30.402528983,225.02648217,160.05912438,16.137203185,30.402528983,156.24375252
150,58.137128108,-8.8256423808,27.227457234,-50.384613463,110.89985526,8.8256423808,-27.227457234,-107.03953244
151,12.809809982,-7.9656242749,8.0994656559,-3.5984326848,211.04650137,7.9656242749,-8.0994656559,-210.68811838
152,41.865672422,15.364010313,-38.193051389,5.9902036718,48.212635883,-15.364010313,38.193051389,24.649670819
153,68.990083801,-10.176651256,-5.0152177985,-67.888327587,24.800688209,10.176651256,5.0152177985,21.546867413
154,1445.9106398,-3.6487580117,-0.84128769293,-1445.8981524,8.3299213384,3.6487580117,0.84128769293,-5.7685691028
155,1351.3288886,38.434056138,-14.307591283,1350.6982607,835.31329705,-38.434056138,14.307591283,834.29271266
156,79.775251017,-42.967885829,-26.240949715,61.702301579,213.37027255,42.967885829,26.240949715,207.29195969
157,97.328501312,-5.2690586541,54.810886096,80.117107748,90.177563751,5.2690586541,-54.810886096,71.259432992
158,18.709626517,-2.5035496986,12.1683657,13.176617149,60.129262194,2.5035496986,-12.1683657,-58.64385123
159,198.62503281,-33.797338011,2.983523639,-195.6493092,87.844207577,33.797338011,-2.983523639,-80.890996625
160,64.269363305,-27.795537425,4.3366989798,-57.593942397,45.57270292,27.795537425,-4.3366989798,35.544090826
161,483.94376618,11.49702358,-37.666239466,482.31582151,194.0283286,-11.49702358,37.666239466,189.93150121
162,79.371079021,38.336563248,20.592625534,66.211251891,80.967325132,-38.336563248,-20.592625534,68.116587048
163,35.674738246,-7.7120003239,-1.4148894461,-34.483620572,1656.3329577,7.7120003239,1.4148894461,-1656.3077311
164,25.220740053,10.717172918,19.920761945,-10.114404432,79.221138113,-10.717172918,-19.920761945,75.777332838
165,540.28086093,3.4668560914,30.689778958,-539.37689705,1195.9074857,-3.4668560914,-30.689778958,-1195.4993696
166,143.80506942,6.6269302993,31.055455347,-140.1764976,48.27131444,-6.6269302993,-31.055455347,-36.05096789
167,68.99893166,-2.5040434502,-5.5538471725,68.568557795,26.460550996,2.5040434502,5.5538471725,-25.317095153
168,611.3525121,17.026750543,25.065164618,-610.58302575,350.02013061,-17.026750543,-25.065164618,-348.6743884
169,205.56724082,9.1719451205,29.098076164,-203.23626124,159.780483,-9.1719451205,-29.098076164,-156.77018255
170,1541.1574702,-12.511512946,-11.376135921,1541.0575277,138.94632337,12.511512946,11.376135921,137.83336444
171,60.865539852,32.592279672,5.5186524195,50.890192795,35.797560534,-32.592279672,-5.5186524195,12.909807181
172,512.81890079,-9.3164925524,19.861947272,-512.32786478,89.207671156,9.3164925524,-19.861947272,-86.340167999
173,1841.8861185,-27.533327344,-25.886914467,-1841.4923749,1130.5276429,27.533327344,25.886914467,-1129.8860319
174,225.74600021,-31.687279209,-45.525308824,218.77506531,179.07403766,31.687279209,45.525308824,170.20218434
175,3234.8226284,21.991330487,11.325656673,3234.724634,781.54063471,-21.991330487,-11.325656673,781.13493366
176,71.454033504,23.557011229,-18.414402877,64.726856038,30.660486365,-23.557011229,18.414402877,4.8941202281
177,1377.5439881,-10.831406488,7.5272043011,-1377.4728204,43.325191131,10.831406488,-7.5272043011,-41.000048968
178,65.502700693,29.686998807,-1.1113521443,-58.18900924,200.13718667,-29.686998807,1.1113521443,-197.86422235
179,82.619388161,5.1693572869,-29.671538805,76.790304273,98.941258044,-5.1693572869,29.671538805,94.128423303
180,106.01440245,39.277464021,-15.506313177,-97.127743711,129.26513952,-39.277464021,15.506313177,-122.08284632
181,55.284308376,40.804593513,24.621004528,27.623468952,76.270671439,-40.804593513,-24.621004528,59.362585911
182,90.863647896,-32.260089654,-2.321774778,84.782123625,82.004685911,32.260089654,2.321774778,75.210202026
183,111.34517927,3.7786246786,-6.7222197216,110.9783434,10.461029866,-3.7786246786,6.7222197216,-5.2798582762
184,89.84787155,0.95203091523,-33.019804695,-83.42263576,246.04698426,-0.95203091523,33.019804695,-243.77410568
185,78.962512794,21.296477375,8.036260028,75.464342592,658.50065293,-21.296477375,-8.036260028,658.09034219
186,214.25812355,42.511216681,14.674173418,209.43237237,143.92651229,-42.511216681,-14.674173418,136.63899894
187,113.13061139,36.155143328,-39.031768719,-99.728490787,117.50286583,-36.155143328,39.031768719,-104.66212362
188,49.802209843,-21.053578158,-22.619134689,-38.772305811,40.974229083,21.053578158,22.619134689,-26.493754765
189,997.96866287,-26.004789689,35.263164443,-996.99529699,1174.2054556,26.004789689,-35.263164443,-1173.3782946
190,43.627574364,-4.4093752794,13.936719348,-40.836264623,27.73930903,4.4093752794,-13.936719348,23.10204599
191,104.46454365,-1.6370158977,19.715927836,102.46635179,936.36281091,1.6370158977,-19.715927836,936.14199031
192,304.61593956,2.8134225998,-28.352541609,-303.24412389,1004.2337209,-2.8134225998,28.352541609,-1003.8184568
193,45.263637339,-33.928317123,-14.477814724,-25.806376019,46.112488736,33.928317123,14.477814724,-27.267816112
194,77.07004825,-2.6541380984,11.097030179,76.075711035,16.847586114,2.6541380984,-11.097030179,-11.470075415
195,1275.3442798,-18.769938769,-3.2619111831,-1275.1933153,99.884250105,18.769938769,3.2619111831,-97.937851483
196,47.772251662,22.085001244,-7.053154979,41.504261874,238.5847098,-22.085001244,7.053154979,237.40909729
197,105.49541363,3.774356357,3.8825818608,-105.25147073,10.959246616,-3.774356357,-3.8825818608,8.2882373617
198,10.634639673,-4.8033583044,-6.2833663743,5.3340994541,118.71497273,4.8033583044,6.2833663743,-118.35793935
199,58.897128683,-8.3427297687,-5.9037827092,-57.812853042,3174.6811747,8.3427297687,5.9037827092,-3174.6612442
200,102.84746144,22.446021922,25.166837604,97.048012395,43.666036431,-22.446021922,-25.166837604,27.339332883
201,1022.3306527,-9.240684971,26.943295268,-1021.9229628,525.49564496,9.240684971,-26.943295268,-524.7020597
202,573.51527029,-7.7828110843,35.089988122,-572.3685839,1272.1788732,7.7828110843,-35.089988122,-1271.6623435
203,148.63409187,-16.410744723,-14.407726149,-146.94593615,25.037786535,16.410744723,14.407726149,-11.309537542
204,30.709387705,-20.011676693,4.5422976548,-22.357925243,33.4133084,20.011676693,-4.5422976548,25.947244673
205,661.52279528,7.4003340724,-45.853183601,659.87350249,710.994419,-7.4003340724,45.853183601,709.46014297
206,25.39609217,-9.5312765537,13.957918045,-18.363082221,50.249449241,9.5312765537,-13.957918045,47.087667601
207,124.04745326,-27.178424195,5.0105700122,-120.83835528,821.36181411,27.178424195,-5.0105700122,-820.88328471
208,60.342471483,24.879290446,-16.691866402,52.168250571,61.428763526,-24.879290446,16.691866402,53.421021061
209,34.810780396,13.846291591,-9.5597557568,-30.10966142,32.013406929,-13.846291591,9.5597557568,26.826470178
210,78.220440348,18.267043962,-18.655646992,73.58416425,26.693147722,-18.267043962,18.655646992,2.9523000301
211,204.49001158,-11.704136872,37.780374555,-200.57350602,77.163687016,11.704136872,-37.780374555,-66.089341595
212,37.234596283,-26.276704641,5.5606345108,25.3562477,33.593522883,26.276704641,-5.5606345108,-19.622663345
213,1351.7770814,-14.37453412,-3.3622773123,-1351.6882982,86.382038198,14.37453412,3.3622773123,-84.981376685
214,468.00951034,23.870093516,-43.374272057,465.35975646,204.4829715,-23.870093516,43.374272057,198.3433558
215,237.16272622,8.7625054002,-26.795416725,-235.43426439,479.93827874,-8.7625054002,26.795416725,-479.08651155
216,433.26646911,-8.3237576559,-18.561284912,432.76314193,59.300282841,8.3237576559,18.561284912,55.503399048
217,346.15908116,-30.224542665,-2.189644814,344.79805966,83.301531342,30.224542665,2.189644814,77.45151774
218,70.990828088,33.167042085,8.2098567719,-62.049603091,261.05830937,-33.167042085,-8.2098567719,-258.76996824
219,996.60047148,-25.074639449,-15.138899703,-996.1588658,730.81015132,25.074639449,15.138899703,-730.20782209
220,82.178517173,-28.476011349,-6.2245531376,76.691527567,195.98927767,28.476011349,6.2245531376,193.75262238
221,423.10268625,21.000771738,-14.917459041,422.29164106,1969.0434173,-21.000771738,14.917459041,1968.8693014
222,110.70018883,3.3939241743,-16.287073839,-109.34191471,17.501012579,-3.3939241743,16.287073839,2.7217541697
223,105.35838269,25.785404548,-1.6318310022,102.0330772,31.822276343,-25.785404548,1.6318310022,17.972682368
224,75.024911858,-13.210030367,19.551427976,-71.062536974,325.3520139,13.210030367,-19.551427976,-324.4612145
225,199.05145469,-29.290995073,16.695150057,-196.1190995,116.08271227,29.290995073,-16.695150057,-110.9793479
226,782.25479313,-27.089543997,38.689581003,780.81351442,1469.7390487,27.089543997,-38.689581003,1468.9724484
227,25.412087244,-22.916347368,-9.8793815834,0.96073980255,53.18896581,22.916347368,9.8793815834,-46.73558523
228,21.659709511,-19.908044877,-3.8452219025,-5.9947505191,133.68541582,19.908044877,3.8452219025,-132.05523247
229,46.141429595,1.5915426713,-43.352024381,-15.000349967,71.79904434,-1.5915426713,43.352024381,57.018257972
230,10.709601145,-1.2183743907,-5.4903310136,-7.808801822,1367.7475138,1.2183743907,5.4903310136,-1367.7278762
231,440.56188561,23.142103996,23.542455035,439.29816855,144.3234927,-23.142103996,-23.542455035,140.41857562
232,125.03678646,10.945795456,-20.701959479,122.73437336,1182.0582089,-10.945795456,20.701959479,1181.8168799
233,36.163670839,-32.708487018,-1.7801696344,-14.584476735,34.783067509,32.708487018,1.7801696344,-10.7125001
234,535.07281563,20.673869141,24.553925182,534.08849821,1788.6222294,-20.673869141,-24.553925182,1788.3280139
235,430.2838857,-52.271826859,11.556714383,-426.91478161,531.2040731,52.271826859,-11.556714383,-528.47873728
236,63.07778353,29.439313779,-7.646946027,-55.05967486,239.59488664,-29.439313779,7.646946027,-237.60991294
237,41.524628065,-33.348524512,24.283666443,-0.61983294176,51.951011508,33.348524512,-24.283666443,-31.224942812
238,42.535399768,-27.50365694,27.959129713,-15.779928837,39.685619431,27.50365694,-27.959129713,-3.8333158292
239,1188.2065097,0.37011644566,-11.627875525,1188.140259,57.349918242,-0.37011644566,11.627875525,55.960509709
240,30.508149594,16.915221582,-21.494699755,-12.669268049,34.473349914,-16.915221582,21.494699755,20.449327998
241,800.70719182,-6.273849703,-3.466962944,-800.66131167,17.838240484,6.273849703,3.466962944,-15.643906207
242,29.517329584,16.298343565,19.918856357,13.666963973,142.41523426,-16.298343565,-19.918856357,139.99147155
243,755.45373429,22.701886583,-8.6976018685,755.0478334,149.97112035,-22.701886583,8.6976018685,147.91288993
244,359.35914965,23.96937863,17.398561724,-358.1056651,449.88152255,-23.96937863,-17.398561724,-448.88088985
245,435.77416311,-7.1594616697,31.428058628,434.55500282,692.33794482,7.1594616697,-31.428058628,691.57122488
246,1189.0216603,12.249591505,-6.9101951155,-1188.9291885,74.126898069,-12.249591505,6.9101951155,-72.62853247
247,18.242960568,-12.606434011,-6.6490751197,10.372233698,365.8153731,12.606434011,6.6490751197,365.50740734
248,891.49789458,-13.336553284,-1.8874188165,891.38374455,33.092938882,13.336553284,1.8874188165,29.860117224
249,31.636976292,-22.04151222,20.280506152,-9.0377584722,30.48957329,22.04151222,-20.280506152,3.2244206691
250,45.255918556,41.63538251,-8.0682218142,-15.08001606,44.673710094,-41.63538251,8.0682218142,-13.230611986
251,459.67435327,6.9008955996,-17.559341024,-459.26296197,53.134128176,-6.9008955996,17.559341024,-49.44889038
252,8.3575060159,-4.7119865228,5.0522631796,0.1724139707,212.69721032,4.7119865228,-5.0522631796,-212.5330212
253,31.102963685,7.1873698721,26.527499045,-13.781794467,36.588776151,-7.1873698721,-26.527499045,23.691391875
